Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
D.J. Trahan,48.00,63.54,2013,293.40,67.87,29.67,56.39,71.43,169,,1,-0.25,-0.53,0.18,-0.45,-0.02,284249
D.A. Points,87.00,63.48,2013,281.10,62.77,29.08,55.92,71.12,1038,1,2,-0.16,0.00,-0.19,0.19,0.16,2658887
Webb Simpson,92.00,63.30,2013,285.40,66.67,28.93,57.95,69.78,1188,,4,0.31,1.27,0.22,0.52,0.23,2957582
Bob Estes,66.00,63.11,2013,285.00,64.90,28.41,66.19,70.36,523,,2,0.34,0.76,-0.22,0.28,0.36,769717
Aaron Watkins,46.00,63.03,2013,277.10,62.25,28.75,59.53,71.77,126,,1,0.40,-0.59,-0.57,-0.71,0.29,217495
Charlie Wi,75.00,63.02,2013,282.10,60.56,28.34,59.92,71.17,401,,1,0.18,-0.25,-0.22,-0.50,0.30,656672
Cameron Tringale,80.00,62.89,2013,287.20,67.01,29.09,61.68,70.72,654,,1,0.10,0.34,-0.08,0.17,0.15,971209
Luke Donald,60.00,62.87,2013,278.10,62.16,28.21,61.52,69.79,707,,4,0.53,1.28,-0.46,0.58,0.63,1930646
Keegan Bradley,88.00,62.82,2013,300.60,66.54,28.94,60.88,69.72,1416,,7,0.25,1.40,0.70,0.27,0.19,3636813
Greg Chalmers,77.00,62.80,2013,276.80,61.64,28.01,59.33,71.23,395,,2,0.86,-0.03,-0.55,-0.24,-0.10,632283
Will Claxton,67.00,62.80,2013,284.90,65.70,30.14,53.47,71.89,186,,,-0.71,-0.80,0.34,-0.22,-0.22,206722
Y.E. Yang,56.00,62.79,2013,286.70,62.70,29.11,56.65,71.35,182,,,-0.07,-0.57,0.13,-0.50,-0.14,259118
Jim Herman,59.00,62.71,2013,299.20,67.98,30.22,54.57,71.05,325,,2,-0.23,0.05,0.55,-0.09,-0.18,490756
Lee Westwood,70.00,62.59,2013,290.30,65.22,29.42,61.57,70.16,856,,6,-0.48,0.60,0.44,0.48,0.17,2081731
Brandt Snedeker,79.00,62.57,2013,281.30,65.68,28.38,60.86,69.79,2218,2,8,0.69,1.14,-0.03,0.12,0.35,5318087
Stuart Appleby,88.00,62.53,2013,284.70,65.21,28.71,65.21,70.83,395,,1,0.35,0.24,-0.28,-0.22,0.39,538333
Tiger Woods,61.00,62.50,2013,293.20,67.59,28.85,60.00,68.94,3059,5,7,0.43,2.06,-0.14,1.53,0.25,8553439
